category,company,n_reviews,median_stars,media_stars,std_stars
Animals & Pets,gardenbird.co.uk,100,3,3,1.421338109
Restaurants & Bars,www.brewersfayre.co.uk,100,3,3,1.421338109
Restaurants & Bars,mindfulchef.com,100,3,3,1.421338109
Restaurants & Bars,nonnatonda.co.uk,100,3,3,1.421338109
Restaurants & Bars,planthood.co.uk,100,3,3,1.421338109
Restaurants & Bars,simplycook.com,100,3,3,1.421338109
Restaurants & Bars,thecornishfishmonger.co.uk,100,3,3,1.421338109
Restaurants & Bars,wetherspoons.co.uk,100,3,3,1.421338109
Restaurants & Bars,www.burgerking.co.uk,100,3,3,1.421338109
Restaurants & Bars,www.oddbox.co.uk,100,3,3,1.421338109
Restaurants & Bars,www.buzzcateringsupplies.com,100,3,3,1.421338109
Restaurants & Bars,www.chefonline.co.uk,100,3,3,1.421338109
Restaurants & Bars,www.drinkstuff.com,100,3,3,1.421338109
Restaurants & Bars,www.eversfieldorganic.co.uk,100,3,3,1.421338109
Restaurants & Bars,www.harvester.co.uk,100,3,3,1.421338109
Restaurants & Bars,www.nisbets.co.uk,100,3,3,1.421338109
Restaurants & Bars,hungryhorse.co.uk,100,3,3,1.421338109
Restaurants & Bars,hellofresh.co.uk,100,3,3,1.421338109
Restaurants & Bars,gousto.co.uk,100,3,3,1.421338109
Restaurants & Bars,berwickshellfish.com,100,3,3,1.421338109
Public & Local Services,www.ybs.co.uk,100,3,3,1.421338109
Public & Local Services,www.purecremation.co.uk,100,3,3,1.421338109
Public & Local Services,www.ooni.com,100,3,3,1.421338109
Public & Local Services,www.myclarionhousing.com,100,3,3,1.421338109
Public & Local Services,www.leedsbuildingsociety.co.uk,100,3,3,1.421338109
Public & Local Services,www.anchor.org.uk,100,3,3,1.421338109
Public & Local Services,www.ancestry.co.uk,100,3,3,1.421338109
Public & Local Services,topcv.com,100,3,3,1.421338109
Public & Local Services,placesforpeople.co.uk,100,3,3,1.421338109
Public & Local Services,orbitcustomerhub.org.uk,100,3,3,1.421338109
Public & Local Services,livingdna.com,100,3,3,1.421338109
Public & Local Services,litta.co,100,3,3,1.421338109
Public & Local Services,hsstraining.com,100,3,3,1.421338109
Restaurants & Bars,www.nutriseed.co.uk,100,3,3,1.421338109
Restaurants & Bars,www.tobycarvery.co.uk,100,3,3,1.421338109
Public & Local Services,biffa.co.uk,100,3,3,1.421338109
Shopping & Fashion,www.ldmountaincentre.com,100,3,3,1.421338109
Shopping & Fashion,www.chemical-records.co.uk,100,3,3,1.421338109
Shopping & Fashion,www.conveyancingindex.co.uk,100,3,3,1.421338109
Shopping & Fashion,www.decathlon.co.uk,100,3,3,1.421338109
Shopping & Fashion,www.friday-ad.co.uk,100,3,3,1.421338109
Shopping & Fashion,www.houseoffraser.co.uk,100,3,3,1.421338109
Shopping & Fashion,www.itison.com,100,3,3,1.421338109
Shopping & Fashion,www.loveenergysavings.com,100,3,3,1.421338109
Shopping & Fashion,bluebella.com,100,3,3,1.421338109
Shopping & Fashion,www.mandco.com,100,3,3,1.421338109
